estado,anio,mes,mes_num,homicidios_total
Aguascalientes,1990,Enero,1,1
Aguascalientes,1990,Febrero,2,2
Aguascalientes,1990,Marzo,3,2
Aguascalientes,1990,Abril,4,6
Aguascalientes,1990,Mayo,5,3
Aguascalientes,1990,Junio,6,4
Aguascalientes,1990,Julio,7,7
Aguascalientes,1990,Agosto,8,3
Aguascalientes,1990,Septiembre,9,3
Aguascalientes,1990,Octubre,10,3
Aguascalientes,1990,Noviembre,11,5
Aguascalientes,1990,Diciembre,12,4
Aguascalientes,1991,Enero,1,6
Aguascalientes,1991,Febrero,2,13
Aguascalientes,1991,Marzo,3,4
Aguascalientes,1991,Abril,4,5
Aguascalientes,1991,Mayo,5,1
Aguascalientes,1991,Julio,7,2
Aguascalientes,1991,Agosto,8,5
Aguascalientes,1991,Septiembre,9,6
Aguascalientes,1991,Octubre,10,3
Aguascalientes,1991,Noviembre,11,6
Aguascalientes,1991,Diciembre,12,3
Aguascalientes,1992,Enero,1,2
Aguascalientes,1992,Febrero,2,3
Aguascalientes,1992,Marzo,3,1
Aguascalientes,1992,Abril,4,2
Aguascalientes,1992,Mayo,5,5
Aguascalientes,1992,Junio,6,3
Aguascalientes,1992,Julio,7,2
Aguascalientes,1992,Agosto,8,2
Aguascalientes,1992,Septiembre,9,6
Aguascalientes,1992,Octubre,10,2
Aguascalientes,1992,Noviembre,11,4
Aguascalientes,1992,Diciembre,12,3
Aguascalientes,1993,Enero,1,4
Aguascalientes,1993,Febrero,2,3
Aguascalientes,1993,Marzo,3,8
Aguascalientes,1993,Abril,4,2
Aguascalientes,1993,Mayo,5,1
Aguascalientes,1993,Julio,7,2
Aguascalientes,1993,Agosto,8,2
Aguascalientes,1993,Octubre,10,3
Aguascalientes,1993,Noviembre,11,7
Aguascalientes,1994,Enero,1,2
Aguascalientes,1994,Febrero,2,4
Aguascalientes,1994,Marzo,3,2
Aguascalientes,1994,Mayo,5,3
Aguascalientes,1994,Julio,7,1
Aguascalientes,1994,Agosto,8,1
Aguascalientes,1994,Septiembre,9,2
Aguascalientes,1994,Octubre,10,3
Aguascalientes,1994,Noviembre,11,2
Aguascalientes,1994,Diciembre,12,2
Aguascalientes,1995,Enero,1,2
Aguascalientes,1995,Febrero,2,3
Aguascalientes,1995,Marzo,3,1
Aguascalientes,1995,Abril,4,1
Aguascalientes,1995,Mayo,5,4
Aguascalientes,1995,Junio,6,4
Aguascalientes,1995,Julio,7,7
Aguascalientes,1995,Agosto,8,2
Aguascalientes,1995,Septiembre,9,7
Aguascalientes,1995,Octubre,10,2
Aguascalientes,1995,Noviembre,11,1
Aguascalientes,1996,Enero,1,2
Aguascalientes,1996,Febrero,2,5
Aguascalientes,1996,Marzo,3,2
Aguascalientes,1996,Abril,4,1
Aguascalientes,1996,Julio,7,5
Aguascalientes,1996,Agosto,8,1
Aguascalientes,1996,Septiembre,9,3
Aguascalientes,1996,Octubre,10,3
Aguascalientes,1996,Noviembre,11,4
Aguascalientes,1996,Diciembre,12,3
Aguascalientes,1997,Enero,1,1
Aguascalientes,1997,Febrero,2,2
Aguascalientes,1997,Marzo,3,6
Aguascalientes,1997,Abril,4,1
Aguascalientes,1997,Mayo,5,3
Aguascalientes,1997,Agosto,8,1
Aguascalientes,1997,Septiembre,9,3
Aguascalientes,1997,Octubre,10,1
Aguascalientes,1997,Diciembre,12,4
Aguascalientes,1998,Enero,1,2
Aguascalientes,1998,Febrero,2,1
Aguascalientes,1998,Marzo,3,5
Aguascalientes,1998,Abril,4,5
Aguascalientes,1998,Mayo,5,7
Aguascalientes,1998,Junio,6,3
Aguascalientes,1998,Julio,7,4
Aguascalientes,1998,Agosto,8,2
Aguascalientes,1998,Septiembre,9,5
Aguascalientes,1998,Octubre,10,1
Aguascalientes,1998,Noviembre,11,3
Aguascalientes,1998,Diciembre,12,4
Aguascalientes,1999,Enero,1,5
Aguascalientes,1999,Febrero,2,1
Aguascalientes,1999,Marzo,3,2
Aguascalientes,1999,Mayo,5,2
Aguascalientes,1999,Junio,6,1
Aguascalientes,1999,Julio,7,2
Aguascalientes,1999,Agosto,8,4
Aguascalientes,1999,Septiembre,9,3
Aguascalientes,1999,Octubre,10,1
Aguascalientes,1999,Noviembre,11,2
Aguascalientes,2000,Marzo,3,1
Aguascalientes,2000,Abril,4,2
Aguascalientes,2000,Mayo,5,1
Aguascalientes,2000,Junio,6,2
Aguascalientes,2000,Agosto,8,3
Aguascalientes,2000,Septiembre,9,2
Aguascalientes,2000,Octubre,10,2
Aguascalientes,2000,Noviembre,11,1
Aguascalientes,2000,Diciembre,12,1
Aguascalientes,2001,Enero,1,3
Aguascalientes,2001,Febrero,2,1
Aguascalientes,2001,Abril,4,3
Aguascalientes,2001,Mayo,5,4
Aguascalientes,2001,Junio,6,2
Aguascalientes,2001,Julio,7,1
Aguascalientes,2001,Agosto,8,1
