estado,anio,mes,mes_num,sexo,homicidios_total
Aguascalientes,1990,Enero,1,Hombre,1
Aguascalientes,1990,Febrero,2,Hombre,1
Aguascalientes,1990,Febrero,2,Mujer,1
Aguascalientes,1990,Marzo,3,Hombre,2
Aguascalientes,1990,Abril,4,Hombre,6
Aguascalientes,1990,Mayo,5,Hombre,3
Aguascalientes,1990,Junio,6,Hombre,3
Aguascalientes,1990,Junio,6,Mujer,1
Aguascalientes,1990,Julio,7,Hombre,7
Aguascalientes,1990,Agosto,8,Hombre,3
Aguascalientes,1990,Septiembre,9,Hombre,3
Aguascalientes,1990,Octubre,10,Hombre,3
Aguascalientes,1990,Noviembre,11,Hombre,5
Aguascalientes,1990,Diciembre,12,Hombre,3
Aguascalientes,1990,Diciembre,12,Mujer,1
Aguascalientes,1991,Enero,1,Hombre,5
Aguascalientes,1991,Enero,1,Mujer,1
Aguascalientes,1991,Febrero,2,Hombre,10
Aguascalientes,1991,Febrero,2,Mujer,3
Aguascalientes,1991,Marzo,3,Hombre,3
Aguascalientes,1991,Marzo,3,Mujer,1
Aguascalientes,1991,Abril,4,Hombre,4
Aguascalientes,1991,Abril,4,Mujer,1
Aguascalientes,1991,Mayo,5,Hombre,1
Aguascalientes,1991,Julio,7,Hombre,2
Aguascalientes,1991,Agosto,8,Hombre,5
Aguascalientes,1991,Septiembre,9,Hombre,4
Aguascalientes,1991,Septiembre,9,Mujer,2
Aguascalientes,1991,Octubre,10,Hombre,2
Aguascalientes,1991,Octubre,10,Mujer,1
Aguascalientes,1991,Noviembre,11,Hombre,6
Aguascalientes,1991,Diciembre,12,Hombre,3
Aguascalientes,1992,Enero,1,Hombre,2
Aguascalientes,1992,Febrero,2,Hombre,3
Aguascalientes,1992,Marzo,3,Hombre,1
Aguascalientes,1992,Abril,4,Hombre,2
Aguascalientes,1992,Mayo,5,Hombre,5
Aguascalientes,1992,Junio,6,Hombre,2
Aguascalientes,1992,Junio,6,Mujer,1
Aguascalientes,1992,Julio,7,Hombre,1
